,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
28,"What, predominantly, is the material used for the items furnishing this room?",Wood.,"Menene, galibi, abun da akayi amfani na sanya kayan ɗakin ɗakinnan?",Katako.,1475,2407651
29,What color objects are on the ground?,Kites.,Wasu launin abubuwa ne a ƙasa?,Jiragen leda.,1360,2321878
30,What is around the baseball field?,A fence.,Menene a kewaye da filin baseball ɗin?,Shinge.,2205,2408770
31,What color is the sky?,Blue.,Menene launin saman?,Shuɗi.,2230,2341904
32,What base is in this picture?,3rd base.,Wani tushe ne a cikin wannan hoton?,Tushe na uku?.,2486,2345930
33,What color is the surfboard?,White.,Menene launin allon hawan igiyar ruwan?,Fari.,1039,2324679
34,What color is the person's wetsuit?,Black.,Menene launin rigar ruwan mutumin?,Baƙa.,717,2324679
35,When was this photo taken?,During the daytime.,Yaushe aka ɗauka wannan hoton?,Da lokacin rana.,855,2365369
36,When was the man tilting his head?,Nighttime.,Yaushe mutumin yake karkata kanshi?,Lokacin dare.,1700,2384775
37,What Color is the man's tie?,Purple.,Menene launin ɗamarar wuyan mutumin?,Shunayya.,2214,2384775
38,What color are the tiles?,Brown.,Menene launin tayel ɗin?,Ruwan ƙasa.,2105,2415420
39,What part of the plane is down?,The wing flaps.,Wani ɓangaren jirginne a ƙasa?,Maharban fuffuken.,1744,2376233
40,How many plates are on the table?,1,Nawane adadin farantai a kan tebur ɗin?,1,8,2408726
41,What is gathered in a puddle?,Water.,Me aka tara a cikin kududdufi?,Ruwa.,2057,2370799
42,Why is the man on the court?,Playing tennis.,Meyasa mutumin yake filin?,Yin wasan tanis.,2659,2409658
43,What is the dog doing?,Sleeping.,Me karen yakeyi?,Barci.,672,2340094
44,Where is the tile border?,Around the wall.,Ina iyakan tayel ɗin?,Kewaye da bangon.,1498,2359902
45,What is the color of telephone wires?,Black.,Menene launin wayoyin tarho?,Baƙi.,729,2414132
46,Who is blending?,A man.,Wanene yake markaɗe?,Mutumi.,1906,2338059
47,Where is the stuffed animal?,On the couch.,Ina 'yar tsanar dabbar?,A kan kujerar.,286,2316899
48,How is the train?,Arriving.,Yaya jirgin ƙasan?,Yana isowa.,2598,2372875
49,What are the cars doing?,Parked.,Me motoci sukeyi?,A ajiye.,50,2372875
50,How many cats are there?,One.,Nawane adadin maguna a gurin?,Ɗaya.,2716,2372150
51,What color is the man's tie?,Red.,Menene launin ɗamarar wuyan mutumin?,Ja.,1321,2374167
52,What is around the bride's neck?,Necklace.,Menene zagaye a wuyan matar?,Sarƙa.,2182,2374167
53,What color is the fence?,Blue.,Menene launin shingen?,Shuɗi.,2230,2322887
54,What kind of fence is this?,Chain link.,Wani irin shinge ne wannan?,Mahaɗar sarƙa.,1745,2389363
55,Where is the white sheet?,Under the red blanket.,Ina farin shinfiɗan?,A ƙasan jan bargon.,403,2400498
56,What is the person standing on?,Skateboard.,Akan me mutumin yake tsaye?,Allon sullu mai taya.,570,2391500
57,Where is the cat lying?,On a towel-covered table.,A ina magen take kwance?,Akan tebur mai rufe da tawul.,525,2417622
58,What are they doing?,Jumping.,Me sukeyi?,Tsalle.,2437,2393748
59,Where are they walking?,Along the beach.,A ina suke tafiya?,Kusa da bakin teku.,1560,2321185
60,How many post on the sidewalk?,One.,Tirke nawane a gefen hanya?,Ɗaya.,2716,2385206
61,Where is the event taking place?,On a baseball field.,A ina akeyin lamarin?,A filin wasan baseball.,160,2340332
62,Where is this picture taken?,A field.,A ina aka ɗauka wannan hoton?,Fili.,1069,2392682
63,What is between two tennis courts?,Fence.,Menene a tsakanin filaye biyu na tanis?,Shinge.,2205,2361297
64,How are both eyes?,Open.,Yaya duka idanun?,A buɗe.,88,2401010
65,What is the toilet paper on?,Wall.,Akan me takardar bayan gida take?,Bango.,662,2364944
66,What has white stitching?,Black ribbon.,Menene yakeda farin ɗinki?,Baƙin kintinkiri.,730,2401582
67,What does the lady bear have on top of head?,Veil with rose.,Me budurwar ƴar tsanar ta ke sanye da shi a saman kai?,Gyale mai furen wardi.,1212,2401582
68,Who is watching the game?,Spectators.,Waye yake kallon wasan?,Yan kallo.,2584,2409658
69,What is on the floor of the open expanse?,A grate.,Menene a ƙasan buɗaddan filin?,Murfi.,1871,2373667
70,What color is the top of the table?,Black.,Menene launin saman tebur ɗin?,Baƙi.,729,2382724
71,Where is the clock?,Wall.,Ina agogon?,Bango.,662,2382724
72,Where is the lady?,No lady.,Ina budurwar?,Babu budurwa.,629,2338059
73,Where are they lying?,On the bed.,A ina suke kwance?,A kan gadon.,271,2383244
74,How many feet are there?,4,Nawane adadin ƙafafu a gurin?,4,28,2383244
75,Where is the scene?,A place with palm trees.,Inane gurin?,Guri mai bishiyoyin kwakwa.,1207,2409074
76,What kind of pants is the man wearing?,Snow pants.,Wani irin wando mutumin yake sanye da shi?,Wandon dusan ƙanƙara.,2515,2370772
77,Where is the cat?,Bed.,Ina magen?,Gado.,1126,2372150
78,Where is a hat?,On a woman's head.,Ina hulan?,A kan matar.,290,2329138
79,What kind of fruit is farthest left?,Lemon.,Wani irin kayan itacene a nesan hagu?,Lemun tsami.,1683,2339344
80,What is behind the woman in the sky?,The Moon.,Menene a bayan matar a sama?,Wata.,2545,2399443
81,What is on the bedside table?,An alarm clock.,Menene a kan tebur ɗin gefen gadon?,Agogon ƙararrawa.,462,2400498
82,Who is in the picture?,A man and child.,Waye a hoton?,Mutumi da yaro.,1901,2346516
83,What is the man doing?,Eating.,Me mutumin yakeyi?,Cin abinci.,811,2392791
84,What is the animals doing?,Bending.,Me dabbobin sukeyi?,Sunkuyawa.,2296,2378433
85,What is the color of the bear?,Black.,Menene launin dabbar beya?,Baƙi.,729,2378433
86,Who is in the photo?,A man.,Waye a cikin hoton?,Mutumi.,1906,2417622
87,What is in the picture?,The Big Ben.,Menene a cikin hoton?,Big Ben ɗin.,744,2392303
88,How many sheep are shown?,One.,Nawane adadin tumakai da aka nuna?,Ɗaya.,2716,2335177
89,Who is trimming the sheep?,The man.,Waye yake wa tumakiya aski?,Mutumin.,1923,2335177
90,What design is on the window panes?,They are a diamond pattern.,Wani irin ado ne a jikin gilasan tagar?,Sun kasance tsarin lu'u lu'u.,2268,2407651
91,What color is the fence?,White.,Menene launin shingen?,Fari.,1039,2321878
92,What color is the boy's shirt?,Red.,Menene launin rigar yaron?,Ja.,1321,2408770
93,What direction is the zebra looking?,Left.,Wani ɓangare jakin dawan yake kallo?,Hagu.,1215,2365039
94,What is the name of the player standing at the home base?,Mauer.,Menene sunan ɗan wasan dake tsaye a ƙarshen gidan?,Mauer.,1828,2340332
95,What can the people use to lean on?,Railing.,Da me mutanen zasu iya amfani su jingina?,Ƙarfen jingina.,2745,2395647
96,What is covering the ground?,Snow.,Menene ya rufe ƙasa?,Dusar ƙanƙara.,989,2365369
97,What is the number of zebras in the picture?,Zero.,Menene adadin jakunan dawan hoton?,Sifili.,2238,2361297
98,What is in the man's right hand?,Tennis racket.,Menene a hannun daman mutumin?,Raket ɗin wasan tanis.,2000,2361297
99,What color is the curtain?,White.,Menene launin labulen?,Fari.,1039,2415913
100,How many zebras are in the photo?,Two.,Nawane adadadin jakunan dawa a cikin hoton?,Biyu.,761,2318831
101,Where is the picture taken?,At a table.,A ina aka ɗauka hoton?,A tebur.,360,2376728
102,What is the color of the table?,Brown.,Menene launin teburin?,Ruwan ƙasa.,2105,2408726
103,How does the rim look like?,White.,Kamar yaya iyakar take?,Fari.,1039,2359902
104,What is between the wooden sections?,A crack.,Menene a tsakanin sassan itacen?,Tsagu.,2427,2370992
105,What type of vehicle is in front on the left side of the picture?,Minivan.,Wani irin abin hawa ne a gaba a gefen hagun hoton?,Ƙaramar motar ɗaukan kaya.,2735,2414132
106,Where is the laptop?,On the bed.,Ina kwamfutar tafi-da-gidankan?,A kan gadon.,271,2373313
107,Where is the white sheet?,On the bed.,Ina farin shimfiɗar?,A kan gadon.,271,2373313
108,What is the woman wearing?,Tan pants.,Me matar take sanye dashi?,Wando tan.,2513,2396561
109,Where was this picture taken?,A library.,A ina aka ɗauka wannan hoton?,Ɗakin karatu.,2695,2326262
110,Who is the man?,No indication.,Waye mutumin?,Babu alama.,627,2390993
111,Who is pictured?,A woman.,Wa aka nuna?,Mata.,1809,2360727
112,Who is pictured?,A woman.,Wa aka nuna?,Mata.,1809,2360727
113,What is in the bowl?,Chopped tomatoes.,Menene a cikin tasan?,Yankakkun tumatir.,2626,2400596
114,What type of color is the hat?,Black.,Wani irin launi ne da hulan?,Baƙi.,729,2400596
115,What is the sheet color?,White.,Menene launin shimfiɗan?,Fari.,1039,2372150
116,How is the photo?,Clear.,Yaya hoton?,Bayyananne.,714,2374167
117,Where are the skateboards?,On the ground.,Ina allunan sulu mai taya?,A ƙasa.,400,2330978
118,Where are shadows?,On the ground.,Ina inuwa?,A ƙasa.,400,2329138
119,Where are clouds?,In the sky.,Ina gajimare?,A sama.,336,2329138
120,What is black at the rear end of the bicycle?,Tire.,Menene baƙi a ƙarshen bayan keken?,Taya.,2395,2370863
121,What is seen along the shore?,Rocks.,Menene aka gani a kusa da gaɓar ruwa?,Duwatsu.,997,2328500
122,What is the man holding?,An umbrella.,Me mutumin yake riƙe dashi?,Lema.,1677,2415316
123,What looks cheesy?,Pizza.,Menene yayi maiƙo?,Fizza.,1094,2367880
124,What is over their heads?,Umbrella.,Menene a saman kansu?,Lema.,1677,2354438
125,What is the mother doing?,Walking.,Me uwar takeyi?,Tafiya.,2328,2354438
126,Why the stop is red?,So it's visible.,Meyasa stop ɗin ya zama ja?,Saboda a iya gani.,2118,2385206
127,What color are the scissors handles in the background?,Blue and green.,Menene launin hannun almakashin a bayan?,Shuɗi da kore.,2220,2410068
128,What is the dog sitting on?,Rug.,Akan me karen yake zaune?,Kilishi.,1502,2353595
129,What type of animal is in this picture?,Dog.,Wacce irin dabba ce a cikin wannan hoton?,Kare.,1458,2353595
130,What mode of transportation is visible?,Boat.,Wani hanyar sufuri ake iya gani?,Jirgin ruwa.,1371,2395647
131,What color is the sky?,Gray.,Menene launin sama?,Launin toka.,1661,2324679
132,Why was the woman holding a hose?,To clean the lamb.,Meyasa matar take riƙe da tiyo?,Dan wanke ɗan tunkiyan.,916,2333753
133,Who is carrying the black umbrella?,A man.,Waye yake ɗauke da baƙar lema?,Mutumi.,1906,2365369
134,What sort is being played?,Ultimate frisbee.,Wani irin wasan sukeyi?,Frisbee na ƙarshe.,1100,2392682
135,What is the man wearing around his neck?,A tie.,Me mutumin yake sanye dashi kewaye da wuyan shi?,Ɗamarar wuya.,2702,2384775
136,When was this photo taken?,In the daytime.,Yaushe aka ɗauka hoton?,Cikin lokacin rana.,801,2318831
137,Where are the urinals?,On the wall.,Ina gurin fitsari?,A jikin bango.,231,2415420
138,What is in the sky that is big?,The airplane.,Menene a sama da ya kasance babba?,Jirgin saman.,1375,2376233
139,How many planes are there?,One.,Nawane adadin jiragen sama a gurin?,Ɗaya.,2716,2376233
140,Why is the shuttle on the aircraft?,It's being transported.,Meyasa shuttle ɗin akan jirgin saman?,Ana safarar shi.,589,2384817
141,What color is the plane?,White.,Menene launin jirgin saman?,Fari.,1039,2384817
142,What color is the space shuttle?,White with black trim.,Menene launin shuttle ɗin saman?,Fari da ratsin baƙi.,1030,2384817
143,What is the cake kept on?,A plate.,Akan me aka ajiye kek ɗin?,Faranti.,1011,2376728
144,Where is handwriting?,On white paper.,Ina rubutun hannu?,A kan farar takarda.,270,2408726
145,What is on the cyclist's back?,A back-pack.,Menene a bayan masu tuƙin babur ɗin?,Jakar baya.,1328,2370799
146,What is covering the table?,A white cloth.,Menene ya rufe tebur ɗin?,Farin tufafi.,1056,2375728
147,What is the mug's color?,Green.,Menene launin kofin tangaran ɗin?,Kore.,1530,2375728
148,How many different kinds of animals are in the photo?,Two.,Nawane adadin dabbobi iri daban-daban a cikin hoton?,Biyu.,761,2340094
149,What button can a person press to return to the main menu?,The home key.,Wani madannin mutum zai iya dannawa ya dawo babban mazaba?,Madannin gida.,1727,2370992
150,What animal is on the shelf?,Duck.,Wacce dabba ce a kan katakon ajiya?,Agwagwa.,465,2382724
151,What is this a picture of?,A dog with a frisbee.,Hoton menene wannan?,Kare tareda frisbee.,1457,2336673
152,What color is the blender?,Red.,Menene launin na'urar markaɗen?,Ja.,1321,2338059
153,What snacks are shown?,Potato chips.,Wasu kayan ciye-ciye aka nuna?,Chips ɗin dankali.,787,2338059
154,When was this picture taken?,Daytime.,Yaushe aka ɗauka wannan hoton?,Da rana.,860,2326262
155,What time of day is it?,Day time.,Wani lokacin rana ne wannan?,Da rana.,860,2332193
156,What type of sauce is on the pizza?,Tomato sauce.,Wacce irin miya ce a kan fizza?,Miyar tumatir.,1857,2391656
157,When did the woman go surfing?,During high tide.,Yaushe matar taje hawan igiyar ruwa?,Lokacin yawan igiyar ruwa.,1710,2413552
158,What is the man riding?,Horse.,Me mutumin yake hawa?,Doki.,946,2390993
159,How is the street?,Empty.,Ya titin?,Fanko.,1006,2372875
160,What is the dress code?,Formal.,Menene tsarin kayan?,Na al'ada.,1925,2374167
161,What are the dogs standing on/ near?,Motorcycle.,A kan/kusa da me karnunan suke tsaye?,Babur.,642,2394177
162,When was the picture taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2330978
163,What room was this taken in?,Bedroom.,A wani ɗaki aka ɗauka wannan?,Ɗakin kwana.,2696,2335797
164,Where is the hand?,Next to the pillow.,Ina hannun?,Kusa da matashin kai.,1582,2400498
165,What is the girl riding?,A bicycle.,Me yarinyar take tuƙawa?,Keke.,1490,2370863
166,Why are the women carrying umbrellas?,Rainy weather.,Meyasa matan suke ɗauke da lema?,Yanayin damina.,2620,2317544
167,What is the man holding?,A camera.,Me mutumin yake riƙe dashi?,Kamara.,1401,2393970
168,Who are these people?,Mother and child.,Su waye waɗannan mutanen?,Uwa da ɗa.,2499,2354438
169,What color are the man's shoes?,Black.,Menene launin takalman mutumin?,Baƙi.,729,2335177
170,Where is the diamond pattern?,On the window.,Ina tsarin lu'u lu'un?,A jikin tagan.,246,2407651
171,What is reflected on the ground?,The boys' shadows.,Menene ya nuna a ƙasa?,Inuwar mazan.,1297,2389352
172,When was this picture taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2389352
173,What is the shade of the cat's eyes?,Green.,Menene launin idon magen?,Kore.,1530,2403773
174,What is behind the sheep?,A fence.,Menene a bayan tumakan?,Shinge.,2205,2410990
175,What is under the hat?,Two ties.,Menene a ƙasan hular?,Ɗamarar wuya biyu.,2700,2392923
176,What color is the plate?,White.,Menene launin farantin?,Fari.,1039,2391010
177,What is the number of the player standing at home base?,7,Menene lambar ɗan wasan dake tsaye a tushen gida?,7,40,2340332
178,What are the people doing?,Unloading.,Me mutane sukeyi?,Sauke kaya.,2183,2395647
179,What color is the first chair?,Green.,Menene lauyin kujerar farkon?,Kore.,1530,2333753
180,Who is wearing glasses?,The man.,Waye yake sanye da tabarau?,Mutumin.,1923,2384775
181,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2318831
182,Where are the zebras?,In a field.,Ina jakunan dawan?,A cikin fili.,107,2318831
183,What color is the door?,Brown.,Menene launin ƙofar?,Ruwan ƙasa.,2105,2401010
184,What kind of linoleum is this?,Green linoleum.,Wani irin linoleum ne wannan?,Koren linoleum.,1535,2364944
185,What is next to 2012?,Heart.,Menene a gaban 2012?,Zuciya.,2676,2401582
186,What is the male bear's role in the wedding ceremony?,Groom.,Menene rawar da namijin beya zai taka a bikin auren?,Ango.,590,2401582
187,What is on the napkin?,A white design.,Menene akan adikon goge bakin?,Farin zane.,1058,2376728
188,What color is the table?,Brown.,Menene launin tebur ɗin?,Ruwan ƙasa.,2105,2408726
189,What is black?,Player's outfit.,Menene baƙi?,Kayan ɗan wasan.,1486,2409658
190,What vehicles are pictured?,Cars.,Wasu ababan hawa aka nuna?,Motoci.,1863,2415601
191,What color is the cross walk light?,Red.,Menene launin fitilan tsallakan?,Ja.,1321,2415601
192,Where is there green?,Floor.,A ina kore yake?,Ƙasa.,2752,2359902
193,When was this?,Daytime.,Yaushene wannan?,Da rana.,860,2349358
194,Where is the bench?,Near a park.,Ina bencin?,Kusada gurin shaƙatawa.,1593,2405799
195,How many people are there?,One.,Nawane adadin mutanen gurin?,Ɗaya.,2716,2338059
196,What is the stuffed animal?,A teddy bear.,Wacce 'yar tsanar dabbar ce?,Ƴar tsana.,2779,2316899
197,What is on top of the station wagon?,A surfboard.,Menene a saman station wagon ɗin?,Allon hawan igiyan ruwa.,566,2409074
198,What is in the bowl?,Tomatoes.,Menene a cikin tasan?,Tumatir.,2482,2400596
199,How many white pillows are in the photo?,2,Nawane adadin matashin kai a hoton?,2,20,2335797
200,Who is the man?,A fireman.,Waye mutumin?,Mai kashe gobara.,1762,2322887
201,What is the wall made of?,Corkboard.,Dame akayi bangon?,Allon cork.,564,2400498
202,What color is the lemon?,Yellow.,Menene launin lemun tsamin?,Ruwan ɗorawa.,2110,2385913
203,When was this picture taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2385913
204,What is on the desk?,Computer.,Menene a kan tebur ɗin?,Kwamfuta.,1614,2335099
205,What is up on top of the bank?,Houses.,Menene a sama a kan bakin ruwan?,Gidaje.,1168,2328500
206,Where was the pic taken?,In the woods.,A ina aka ɗauka hoton?,A cikin daji.,103,2378433
207,How many people are in the photo's foreground?,Three.,Nawane adadin mutanen gaban filin hoton?,Uku.,2495,2317544
208,What is the sky like?,Overcast.,Kamar yaya sama take?,A rufe.,333,2379652
209,What is on the net?,Display.,Menene akan ragar?,Nuni.,1961,2393970
210,Where is the number 5?,On red shirt.,Ina lamba 5?,A jikin jar rigar.,240,2393748
211,What animals are in the picture?,Horses and a bird.,Wasu dabbobi ne a cikin hoton?,Dawakai da tsuntsu.,934,2321185
212,What color vest do the riders have on?,Bright green.,Wani launin riga mahayan suka sanya?,Kore mai haske.,1527,2321185
213,When was this picture taken?,During daylight.,Yaushe aka ɗauka wannan hoto?,Lokacin hasken rana.,1703,2321185
214,When was this photo taken?,Daytime.,Yaushe aka ɗauka wannan hoton?,Da rana.,860,2389352
215,What game is the man playing?,Baseball.,Wani wasa mutumin yake yi?,Wasan Baseball.,2527,2408770
216,What pattern is on the two ties?,Stripes.,Menene tsarin jikin ɗamarorin wuya biyun?,Ratsi.,2018,2392923
217,How many pairs are shoes are there?,3,Nawane adadin takalma ƙafa biyu a gurin?,3,25,2353595
218,How many words are on the remote control?,One.,Kalmomi nawane a jikin masarrafin tazara?,Ɗaya.,2716,2342072
219,What are the zebras doing in the photo?,Standing.,Me jakunan dawan sukeyi a hoton?,Tsayuwa.,2454,2318831
220,What number is on top of the front of the bus?,516,Wacce lamba ce a saman gaban bas ɗin?,516,34,2327133
221,Where is the tub?,Across from sink.,Ina bahon?,Ƙetare daga sink.,2762,2364944
222,What is at the top?,Building.,Menene a saman?,Gini.,1183,2410197
223,What is on the side of the round food?,Veggie.,Menene a gefen abinci mai zagaye?,Kayan lambu.,1483,2375728
224,How many dogs are in the picture?,One.,Nawane adadin karnuka a hoton?,Ɗaya.,2716,2340094
225,How is the photo?,Clear.,Yaya hoton?,Bayyananne.,714,2349358
226,Where is the wood surface?,Under the cellphone.,Ina saman katakon?,Ƙarƙashin wayar salula.,2749,2370992
227,What do the signs mean?,Wrong way.,Me alamomin suke nufi?,Hanya ba daidai ba.,1227,2414132
228,How many stuffed animals do you see?,One.,Nawane adadin 'yar tsanar dabba?,Ɗaya.,2716,2316899
229,Where is the woman?,In the ocean.,Ina matar?,A cikin tekun.,137,2413552
230,How many cars are there?,2,Nawane adadin motoci a gurin?,2,20,2409074
231,What kind of pets are these?,Dogs.,Wasu irin dabbobin gidane waɗannan?,Karnuka.,1463,2394177
232,How many yellow flowers facing the camera?,3,Nawane adadin fure ruwan ɗorawa masu fuskantar kamara?,3,25,2339344
233,What is on the plate?,Food.,Menene akan farantin?,Abinci.,429,2392791
234,What is surrounding it?,Trees.,Menene yake zagaye dashi?,Bishiyoyi.,756,2378433
235,What is white?,Cat.,Menene fari?,Kuliya.,1552,2316490
236,Who took the picture?,Man.,Waye ya ɗauka hoton?,Mutumi.,1906,2316490
237,What are the brown things on the pizza?,Mushrooms.,Wacce irin miya ce a kan fizza?,Leman kwaɗo.,1678,2367880
238,Who is carrying a very large camera?,A man wearing a visor and knee-high shorts.,Waye yake ɗauke da babbar kamara?,Mutumi sanye da abin kare fuska da guntun wandon saman gwiwa.,1904,2393970
239,Where was the picture taken?,Tennis court.,A ina aka ɗauka hoton?,Filin tanis.,1073,2332991
240,How many players?,One.,Nawane adadin 'yan wasa ?,Ɗaya.,2716,2332991
241,What is the man using?,A trimmer.,Me mutumin yake amfani dashi?,Aska.,597,2335177
242,Where is the street sign?,On the sidewalk.,Ina alamar titin?,A gefen hanyan.,197,2385206
243,What are the tops of the towers like?,Pointed.,Kamar yaya saman hasumiyoyin suke?,Mai tsini.,1774,2392303
244,What is front of the palace?,A calm lake.,Menene gaban fadan?,Tsayayyan tafki.,2445,2392303
245,What is the tv sitting on?,Shelf.,Akan me talabijin ɗin yake ajiye?,Katakon ajiya.,1476,2403773
246,What striped black and white animal is this?,Zebra.,Wacce dabba mai ratsin baƙi da fari ce wannan?,Jakin dawan.,1333,2365039
247,What pattern is on tie?,Blue stripe.,Wani tsari ne a jikin ɗamarar wuya?,Shuɗin ratsi.,2234,2392923
248,What color is the dog?,Black.,Wani launi ne da karen?,Baƙi.,729,2353595
249,What Color is the mascot's robe?,Maroon.,Menene launin tufar mascot?,Maroon.,1792,2345930
250,What color is the train?,Yellow and brown.,Menene launin jirgin ƙasan?,Rawaya da ruwan ƙasa.,2022,2326701
251,Who is waiting on the platform?,No one.,Wanene yake jira a dandamalin?,Babu kowa.,638,2326701
252,What kind of shoes?,Tennis shoes.,Wasu irin takalma?,Takalman tanis.,2337,2361297
253,How many sinks are in the photo?,One.,Nawane adadin sinks a cikin hoton?,Ɗaya.,2716,2415420
254,What is on top of the plane?,A space shuttle.,Menene a saman jirgin?,Shuttle ɗin sama.,2215,2384817
255,What is the color of the ground?,White.,Menene launin ƙasan?,Fari.,1039,2393380
256,What is the front end?,Of the plane.,Menene ƙarshen gaban?,Na jirgin.,1929,2393380
257,What is in the skier's hands?,Poles.,Menene a hannun mai sulun ƙanƙara?,Sanduna.,2172,2410197
258,Where are white lines?,On the court.,Ina fararen layuka?,A filin.,164,2409658
259,How long is the dog's tail?,Short.,Yaya tsayin wutsiyan karen?,Guntuwa.,1206,2336673
260,What hand is holding the pizza?,Right hand.,Wani hannu ne riƙe da fizza ɗin?,Hannun dama.,1223,2391656
261,Who is eating the pizza?,The girl.,Waye yake cin fizza ɗin?,Yarinyar.,2638,2391656
262,What hand is holding the candy apple?,Right.,Wani hannune yake riƙe da alawan tuffa?,Dama.,904,2360727
263,What is yellow?,Helmet.,Menene ruwan ɗorawa?,Hular kwano.,1275,2330978
264,What color are the rocks on shore?,Grey.,Menene launin duwatsun bakin ruwa?,Ruwan toka.,2087,2339344
265,Who is holding the remote?,Boy.,Waye riƙe da masarrafan tazara?,Yaro.,2639,2335797
266,How many people on skiis?,One.,Nawane adadin mutane a kan allon sulun ƙanƙara?,Ɗaya.,2716,2322887
267,What sport is being played?,Tennis.,Wani wasa akeyi?,Tanis.,2371,2389363
268,What are the eyelashes?,Grass.,Menene gashin idon?,Ciyawa.,820,2359510
269,Where is the man sitting?,At at table.,A ina mutumin yake zaune?,A gurin tebur.,214,2392791
270,What kind of pants is the man wearing?,Jeans.,Wani irin wando mutumin yake sanye dashi?,Jeans.,1350,2391500
271,What is the man facing?,The camera.,Me mutumin yake fuskanta?,Kamarar.,1402,2391500
272,What is the weather like?,Fair.,Kamar ya yanayin yake?,Daidai.,897,2379652
273,Who is in the picture?,Woman.,Waye a hoton?,Mata.,1809,2332991
274,What is the clocktower called?,Big Ben.,Me ake kiran hasumiyar agogo?,Big Ben.,745,2392303
275,What has grown from the ground?,Grass and trees.,Menene ya tsiro daga ƙasa?,Ciyawa da bishiyoyi.,817,2321878
276,What is the animal on the extreme left?,A ram.,Wacce dabba ce a ƙarshen  hagu?,Rago.,1998,2410990
277,How many chairs are there in the photo?,Three.,Nawane adadin kujeru a cikin hoton?,Uku.,2495,2333753
278,What vehicle is in the picture?,A train.,Wani abin hawa ne a hoton?,Jirgin ƙasa.,1376,2326701
279,What number is on the sign?,4,Wacce lamba ce a jikin alamar?,4,28,2326701
280,What is this a photo of?,A bathroom.,Hoton menene wannan?,Ban ɗaki.,659,2415420
281,What is on the napkin?,Forks.,Menene akan adikon goge bakin?,Cokula masu yatsu.,830,2376728
282,How is the sky above?,Cloudy.,Yaya yanayin saman?,Gajimare.,1131,2373667
283,What color is the bench?,Gray with printing.,Menene launin bencin?,Ruwan toka da rubutun bugu.,2084,2405799
284,Where is the laptop?,On the bed.,Ina kwamfutar tafi-da-gidankan?,A kan gadon.,271,2373313
