,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
30,What color are the walls?,Yellow.,Wane launi ne bangon?,Ruwan ɗorawa.,2110,2359980
31,How many trains?,One.,Jiragen ƙasa nawa?,Ɗaya.,2716,2341904
32,What are the men in orange shirts holding?,Sticks.,Me maza masu riga ruwan lemo suka riƙe?,Sanduna.,2172,2398411
33,What is the boy doing?,Playing with a cellphone.,Me yaron yake yi?,Wasa da wayar hannu.,2525,2372168
34,Why is the khat laying down?,Sleeping.,Me yasa khat kwanciya?,Barci.,672,2350161
35,What is this a photo of?,A bathroom.,Hoton menene wannan?,Ban ɗaki.,659,2415420
36,What is the girl doing?,Reading manga.,Me yarinyar take yi?,Karanta manga.,1448,2419110
37,What sport are these children playing?,Soccer.,Wane wasanni ne waɗannan yaran wasa?,Wasan kwallon ƙafa.,2533,2348221
38,What is the woman holding?,A video game controller.,Me Matar take riƙe?,Masarrafan wasan bidiyo.,1795,2419447
39,What comprise in the water?,Rock.,Abin da ya ƙunshi ruwa?,Dutse.,995,2410402
40,How are the cars painted?,White.,Ya ake fentin motoci?,Fari?.,1040,2389609
41,How many red trucks represent there?,One.,Nawa manyan motocin ja suna wakiltar can?,Ɗaya.,2716,2355107
42,What is next to the house?,A tree.,Menene kusa da gidan?,Bishiya.,752,2354016
43,How are the floors made?,Of stone.,Yaya aka sanya benayen?,Da dutse.,844,2343858
44,Where was this picture taken?,At the lake.,A ina aka ɗauki wannan hoton?,A tafki.,352,2419077
45,How many blue cars?,1,Shuɗiyar mota nawa ne?,1,8,2406667
46,Who is in the picture?,No one.,Wanene a wannan hoton?,Babu kowa.,638,2418818
47,When was the photo taken?,Nighttime.,Yaushe ne aka dauki hoto?,Da dare.,843,2349408
48,What sport is being played?,Tennis.,Wani wasa akeyi?,Tanis.,2371,2389363
49,What color is the paper plate?,White.,Wani launi ne farantin roban?,Fari.,1039,2381070
50,What is the picture of the pedestrian crossing sign?,A person walking on a crossing strip.,Menene hoton alamar masu tafiyar ƙasa?,Mutum yana tafiya a tsakiyar layika.,1895,2361119
51,What live in the background?,A cluster of trees.,Me rayuwa a bango?,Tarin bishiyoyi.,2374,2364595
52,What is park outside?,Vans.,Menene filin shakatawa a waje?,Motoci.,1863,2330984
53,Where is the wooden structure?,Behind growth.,Ina abun katako?,Bayan tsuro.,710,2409139
54,When was the photo taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2323563
55,What type of food is this?,Pizza.,Wani irin abinci ne wannan?,Fiza.,1092,2355904
56,What color is the cat?,Grey.,Mene launin jikin magen?,Ruwan toka.,2087,2383236
57,Where is the man in the photo?,On the floor.,Ina mutumin a cikin hoton?,Akan kasa.,506,2418783
58,What is around the man's neck?,A tie.,Menene kewaye da mutumin?,Ɗamarar wuya.,2702,2396656
59,What color is the tennis ball?,Green.,Wani launi ne kwallon tanis din?,Kore.,1530,2324464
60,What is this a visualise of?,Vegetables.,Menene wannan hangen nesa?,Kayan lambo.,1482,2402473
61,What is this a picture of?,Bathroom.,Menene wannan hoton?,Banɗaki.,670,2418808
62,What is there seven of showing on the zebras?,Legs.,Menene a gurin bakwai da suka nuna a jikin jakin dawan?,Ƙafofi.,2726,2365039
63,When is this lease place?,Daytime.,Yaushe ne wannan wurin wasannin?,Da rana.,860,2341095
64,What number of giraffes are visible?,One.,Wani adadin Giraffes ke gani?,Ɗaya.,2716,2401070
65,What is on the ground?,Brick.,Waye akan ƙasa?,Jan bulo.,1339,2378173
66,Where is the mountain?,The background.,Ina dutsen?,A bayan.,83,2406319
67,What bear has teeth visible?,The bigger one.,Wacce beya ce ake iya ganin haƙwaran ta?,Babbar.,624,2395542
68,What is on the board in breast of the girl?,Plate.,Me ke kan jirgin a cikin nono na yarinyar?,Faranti.,1011,2391656
69,WHO is in the picture?,No one.,Wanene a wannan hoton?,Bakowa.,653,2356589
70,What is on the cookie sheet?,Pizza.,Menene akan takardar kuki?,Fiza.,1092,2370442
71,What cost on the ground?,White snow.,Wane farashi a ƙasa?,Farin dusar ƙanƙara.,1047,2378081
72,Who cost wearing_away glasses?,Tennis player.,Wanene ke ɗaukar tabarau na sanye da ciki?,Ɗan wasan tanis.,2705,2389363
73,What is licking the plant?,Black and white cat.,Me ke lasar bishiya?,Mage mai Baƙi da fari.,1738,2400847
74,What emblazon represent the ground?,Tan.,Abin da Hukumar ta wakilci ƙasa?,Launin tan.,1660,2417965
75,When was the photo taken?,Daytime.,Yaushe ne aka dauki hoto?,Da rana.,860,2338417
76,What is the bottle made of?,Thick glass.,Da me aka yi kwalbar?,Gilashi mai kauri.,1174,2390196
77,Where is the down cup?,On the plate.,A ina ne saukar kofin?,Akan farantin.,486,2356589
78,Where is the bird?,On the beach.,Ina tsuntsu?,Yana gefen ruwa.,2594,2350133
79,Where represent the human_race riding at?,On side of the road.,A ina wakiltar mutum_race hawa?,A gefen titi.,198,2341475
80,What color is the surfboard?,Yellow.,Wane launi ne igiyar ruwa?,Rawaya.,2025,2343526
81,Where was the photo taken?,Runway for planes.,A ina aka ɗauki hoton?,Titin jirgin.,2422,2409343
82,What is behind the toilet?,A toilet cleaning product.,Mene a bayan masai?,Kayan wanke banɗaki.,1485,2375175
83,Where cost the surfboard?,Under the person.,Inda kudin jigilar kayayyaki?,A ƙarƙashin mutumin.,398,2324679
84,What toy is on the white counter?,Remote controlled truck.,Wani abun wasa ne akan farin tebur din?,Babbar motar da ake sarrafa wa da rimot.,622,2408812
85,How many skaters?,One.,Nawa skaters?,Ɗaya.,2716,2317163
86,How is the weather?,Fair.,Yaya yanayin?,Daidai gwargwado.,896,2412953
87,What is the man surfing on?,Powerful waves.,A kan me mutumin yake hawan igiyar ruwa?,Igiyoyin ruwa masu ƙarfi.,1290,2408685
88,What animal is on the seat?,A cat.,Wacce dabba ce ke zaune kan kujera?,Mage.,1739,2370384
89,What be the guy holding?,A toothbrush.,Menene mutumin da yake riƙe?,Buroshin haƙori.,775,2394763
90,What letter is on the front?,J.,Wane harafi yake a gaba?,J.,1307,2418928
91,What kind of floor is in the picture?,Wood.,Wani irin bene yake a wannan hoton?,Na katako.,1931,2408925
92,What color are the walls?,Yellow.,Menene launin bangon?,Ruwan ɗorawa.,2110,2359980
93,Where is the red truck in the photo?,Far left.,Ina jar babbar mota a cikin hoton?,Nesan hagu.,1955,2382006
94,Where is this picture taken?,In the City.,A ina ne aka ɗauki wannan hoton?,A cikin burni.,100,2418236
95,Why is the man in the street?,Catching the bus.,Meyasa mutumin ke kan titi?,Shiga motar bas.,2202,2350144
96,Where is the bus?,In the street.,Ina bas?,A titin.,365,2401075
97,Where is the plate?,On the table.,Ina farantin?,Akan tebur.,528,2407360
98,What is the individual on the bench fag_out along his head?,Hat.,Menene mutum a kan benci fag_o_ut tare da kansa?,Hula.,1273,2381745
99,What is the man on the right doing?,Walking.,Me mutumin dake dama yakeyi?,Tafiya.,2328,2363057
100,What color shirt is the humanity wearing?,Yellow.,Wane rigar launi ce ɗan adam ya saka?,Rawaya.,2025,2409424
101,How many of the dogs legs can you see?,3,Ƙafafun Karen nawa kake iya gani?,3,25,2332607
102,How many post on the sidewalk?,One.,Guda nawa a gefen titi?,Ɗaya.,2716,2418000
103,What pattern is on the boy's shirt?,Stripes.,Wane tsari ne a kan rigunan yaron?,Mai layi layi.,1768,2417901
104,What sport is this?,Baseball.,Wana wasan motsa jiki wannan?,Besbal.,740,2365090
105,How many pizzas are there?,1,Nawa ne adadin fizza a gurin?,1,8,2385577
106,Where make_up the motorboat?,By the shore.,Inda sanya taken buri?,Kusa da gaɓar ruwan.,1567,2386663
107,What shape make_up the plates?,Square.,Wane siffar kayan kwalliya?,Murabba'i.,1870,2363748
108,What is the person's hand holding?,Napkins.,Me hannun mutumin yake riƙeda?,Napkins.,1952,2344002
109,Where be shadows?,On the ground.,A ina ne inuwa?,A ƙasa.,400,2365928
110,Where represent the white ramp_up located?,End of street.,A ina wakiltar farin Ramp_up din?,A ƙarshen titi.,395,2417967
111,What body parts are depicted in the painting?,An arm and a leg.,Wasu ɓangaren jiki aka siffanta a jikin zanen?,Hannu da ƙafa.,1219,2392341
112,How many flower arrangements can you see?,Two.,Nawa ne adadin gyaran furanni da ka iya gani?,Biyu.,761,2352961
113,What type of bus?,Double decker bus.,Wani irin bas?,Mai hawa biyu.,1757,2392157
114,What base is in this picture?,3rd base.,Wani tushe ne a cikin wannan hoton?,Tushe na uku?.,2486,2345930
115,Who is using the laptop?,The man.,Wanene ke amfani da kwamfutar tafi-da-gidanka?,Mutumin.,1923,2418437
116,What is stuffed facing the camera?,A big brown teddy bear.,Abin da aka cushe fuskantar kyamarar?,Babar ƴar tsana ruwan ƙasa.,611,2418225
117,What is the person on the motorcycle wearing?,Shirt and shorts.,Menene mutum a kan babur searing?,Riga da gajeran wando.,2035,2372099
118,Where was this photo taken?,Under the white truck.,A ina aka ɗauka hoton?,A ƙarƙashin farar babbar motar.,397,2384576
119,What is the put_off made out of?,Wood.,Menene put_off ya yi?,Da katako.,853,2410519
120,Where is the project taken?,At a table.,Ina aikin?,A tebur.,360,2376728
121,What comprise the vehicle in the photo?,Train.,Me ya haɗa motar a cikin hoto?,Jirgin ƙasa.,1376,2380140
122,When was this taken?,Daytime.,Yaushe aka kwashe wannan?,Da rana.,860,2326403
123,Where is the vechile?,Parking lot.,Ina abin hawa?,A wurin parking.,388,2372238
124,What color are the elephants?,Grey.,Mene launin jikin giwayen?,Ruwan toka.,2087,2326516
125,What is wrapped around the topless man's head?,A blue towel.,Me yake nannaɗe a kan mutumin da baya sanye da riga?,Tawul shuɗi.,2393,2376101
126,What is behind the building?,Another building.,Mene a bayan ginin?,Wani ginin.,2519,2407019
127,What exist the colour_in of the cat?,White and black.,Me ke faruwa a cikin cat?,Fari da baki.,1023,2337167
128,What is on the man's face?,The beard and mustache.,Menene fuskar mutum?,Gemun da gashin baki.,1163,2390215
129,Where is the photographer?,Living room.,Ina mai daukar hoto?,Falo.,1002,2352325
130,How many sandwich are in the photo?,One.,Nawa sandwich nawa ne a cikin hoto?,Ɗaya.,2716,2405971
131,What is the white object the cat is laying on?,Sheet.,Menene farin abun da magen take kai?,Zanin gadao.,2670,2398318
132,What is the easel made of?,Wood.,Da me akayi alon zane?,Katako.,1475,2358721
133,What is it made of?,Wood.,Dame akayi shi?,Katako.,1475,2335167
134,How many people are in the picture?,Two.,Mutane nawa ne a wannan hoton?,Biyu.,761,2335574
135,"What color is the sign that says ""Born To Play""?",Green.,"Wani launi ne alamar da ta nuna ""Born To Play""?",Kore.,1530,2348077
136,What follow up along top of the bank?,Houses.,Me ya biyo bayan bankin?,Gidaje.,1168,2328500
137,Where exist the bananas?,In bowl on woman's head.,Ina 'yar ayaba?,A kwanon kan matar.,321,2412909
138,What be hanging from the ceiling?,Lights.,Me ake rataye daga rufin?,Fitala.,1084,2418187
139,What is the girl holding?,An umbrella.,Me yarinyar ke riƙe dashi?,Laima.,1639,2344159
140,What is by the street?,Large house.,Mene a kusa da titi?,Babban gida.,614,2389508
141,Why is there rice visible in this picture?,It's an overview photo.,Meyasa ake ganin shinkafa a wannan hoton?,Hoton ta sama yake.,1268,2390460
142,What is next to the food?,Drinks.,Menene kusa da abinci?,Abin sha.,424,2393733
143,Why does the baby have snaps on his straps?,To secure.,Meyasa jaririn yake da maɓalli akan maɗauri?,Don kariya.,958,2348986
144,What is this food?,A cake.,Menene abincin?,Kek.,1489,2419144
145,What is red on the plate?,Tomatoes.,Menene ja a kwanon?,Tumatir.,2482,2389268
146,Where is the heart and cheese?,On the plate.,Ina zuciya da cuku?,Akan farantin.,486,2400617
147,What is orange on the bike?,The turn signals.,Menene orange akan keke?,Alamar juyawa.,553,2375565
148,What is on the man's face?,Glasses.,Menene fuskar mutum?,Madubi ido.,1731,2332812
149,When did the man smile?,For the camera.,Yaushe mutumin yayi murmushi?,Don kamarar.,955,2325682
150,What color is the horse?,Tan.,Mene launin dokin?,Ruwan ƙasa.,2105,2337940
151,Where is the wooden spoon?,On the counter.,Ina cokalin katako ?,Yana kan kanta.,2603,2358683
152,When was this picture taken?,In the daytime.,Yaushe ne aka ɗauki wannan hoton?,Da rana.,860,2419211
153,Where was this photo taken?,At a park.,A ina aka dauki hton?,A wurin wasa.,389,2321066
154,How could ampere person trip in this scene?,On the step.,Ta yaya za a yi tafiya mai kyau a cikin wannan yanayin?,Akan matartakala.,513,2322626
155,When was this picture taken?,Daytime.,Yaushe aka ɗauki wannan hoton?,Da rana.,860,2319245
156,What color is the wall?,Yellow.,Menene launin bangon?,Rawaya.,2025,2353018
157,What type of crunch is the bench on?,Paved red bricks.,Wani irin crunch shine benci a?,Shimfidaddun jan duwatsu.,2203,2401587
158,Where was this photo taken?,At an antique car show.,Ina aka ɗauki hoton nan?,Shagon siyar da tsoffin kaya.,2192,2406263
159,What is the shape of the white sign?,Rectangular.,Menene siffar farar alamar?,Murabba'i mai ɗari.,1869,2402220
160,When was photo taken?,Day time.,Yaushe aka ɗauki hoton.?,Da rana.,860,2372746
161,Where is light coming from?,Windows.,Ta Ina haske yake fitowa?,Taga.,2331,2407969
162,Who is getting on the bus?,Passengers.,Waye zai shiga bas?,Pasinjoji.,1976,2338205
163,Where personify the picture taken?,On a roadway.,A ina hoton da aka ɗauki hoton?,A kan titi.,300,2378098
164,What bod embody the plate?,Round.,Me body ya rufe farantin?,Da'ira.,871,2367445
165,What is inch the sidewalk?,Grey stone.,Menene Inch gefen?,Dutse me launin ruwan toka.,994,2418663
166,How many people are in the picture?,One.,Nawa ne adadin mutane a cikin hoton?,Ɗaya.,2716,2319759
167,Why are the buses lights on?,Dark outside.,Meyasa fitulun bas din suke kunne.?,Wajen da duhu.,2510,2383481
168,What flesh are the fruits?,Round.,Wane jiki ne 'ya'yan itãcen marmari?,Zagayayye.,2661,2419298
169,Who is standing in front of the house?,Nobody.,Wanene yake tsaye a gaban gidan?,Babu kowa.,638,2418596
170,Who is wearing a bracelet?,Woman on phone.,Wanene yake sanye da awarwaro?,Matar dake yin waya.,1817,2370083
171,Where are the lights?,On the ceiling.,Ina fitular suke?,Suna saman silin.,2285,2360695
172,How many sets of doors are in the picture?,1,Nawa ne adadin saitin ƙofofi a cikin hoton?,1,8,2412941
173,Who is there?,No one.,Waye anan?,Ba kowa.,607,2327489
174,What variety of remote is that?,A small black remote control.,Menene nau'ikan nesa ne?,Ƙarami baƙin rimot.,2737,2418205
175,What cost the man in the purpurate befit doing?,Skiing.,Me ya kashe mutumin cikin ƙaddara yake yi?,Gudun ƙanƙara.,1202,2363303
176,What kind of pants is the man wearing?,Snow pants.,Wani irin wando mutumin yake sanye da shi?,Wandon dusan ƙanƙara.,2515,2370772
177,When live the picture taken?,Daytime.,Lokacin da aka ɗauki hoton da aka ɗauki hoton?,Da rana.,860,2381223
178,What is lining the street?,Cars.,Me ya rufi titin?,Motoci.,1863,2370620
179,What cost on the ground?,Brick.,Wane farashi a ƙasa?,Jan bulo.,1339,2378173
180,What color are the sun shades?,Blue.,Wane launi ne rana take sha?,Shuɗi.,2230,2412380
181,Where was this taken?,Zoo.,A ina aka ɗauki wannan?,Gidan dabbobi.,1172,2398411
182,How constitute the animals colored?,Black and white.,Ta yaya dabbobi suka canza?,Baƙi da fari.,723,2391201
183,What is sticking out of the ground behind the first man?,Poles.,Menene yake tsirowa daga ƙasa bayan namijin farkon?,Pol.,1982,2366070
184,Who is sitting on the bench?,A man.,Wa yake zaune a gaɓar kogin?,Namiji.,1949,2363057
185,What live written atomic_number_49 the plane?,Express.,Wane rayuwa da aka rubuta aomic_number_49 jirgin?,Express.,1000,2393380
186,What direction is the zebra looking?,Left.,Wani ɓangare jakin dawan yake kallo?,Hagu.,1215,2365039
187,What color is the grass?,Green.,Menene launin ciyawar.?,Kore.,1530,2319271
188,Where live the cross?,In the center.,A ina ne gicciye?,A tsakiyan.,369,2368090
189,What colour personify the elephants?,Grey.,Wace launi ne ke nuna giwayen?,Ruwan ƙasa.,2105,2379780
190,What color is the laptop?,Gray.,Menene launin kwamfutar tafi-da-gidankan?,Ruwan toka.,2087,2353018
191,What is the batter doing?,Hitting a ball.,Me katakon yake yi?,Dukan ƙwallo.,984,2363784
192,What case is the lawn_tennis catch charter place at?,Special olympics.,Wane yanayi ne lawn_tennis kama wurin?,Olympics na musamman.,1968,2413255
193,How many phones are in the picture?,1,Wayar salula nawa ne a hoton?,1,8,2411204
194,Where was this photo taken?,Near a bus.,Ina aka dauki wannan hoton?,Kusa da bas.,1561,2386985
195,What is green on the plate?,Brussels sprouts.,Menene kore akan farantin?,Brussels sprouts.,766,2363748
196,What is the picture of?,Two bears.,Hoton menene wannan?,Beya guda biyu.,741,2395542
197,What will people do here?,Eat.,Me mutane zasu yi a nan?,Cin abinci.,811,2341997
198,What time is it?,Afternoon.,Wani lokaci ne?,Yamma.,2581,2373710
199,What represent this angstrom exposure of?,"Suitcase, clothes and shoes.",Wace wakilci wannan yanayin Angstrom?,"Ƙaramin akwati, kaya da takalma.",2739,2357496
200,How many people are shown in this picture?,Two.,Mutane nawa aka nuna a hoton?,Biyu.,761,2329507
201,How many Parking Meters are there?,3,Na'urar auna tsawon ajjiyar mota guda nawa ne ana?,3,25,2381790
202,Who personify wearing the red jacket?,The woman.,Wanene ya nuna sanye da jaket ja?,Matar.,1820,2366107
203,What color is the grass?,Green.,Wacce launi ce ciyawar?,Koriya.,1541,2334067
204,What color is the sponge?,Yellow.,Wani launi ne soso?,Rawaya.,2025,2418428
205,What type of bird is this?,A hawk.,Wanne irin tsuntsu ne?,Shaho.,2193,2358256
206,Where personify the silver keyboard?,Under the kitten.,Inda Manyan Keyboard?,Kasan mage.,1468,2360552
207,Where are the ii benches?,Next to one another.,Ina benci na II?,Kusa da juna.,1574,2419300
208,What can be seen in the distance?,Green trees.,Me ake iya gani a nesa?,Korayen bishiyoyi.,1520,2388461
209,What color is the man's shirt?,White.,Menene launin rigar mutumin?,Fari.,1039,2345690
210,What color is the horse?,Brown.,Wana launi ne dokin?,Ruwan ƙasa.,2105,107919
211,What is next to 2012?,Heart.,Menene a gaban 2012?,Zuciya.,2676,2401582
212,What is on the plate?,Food.,Me ke kan farantin?,Abinci.,429,2392791
213,Who is skiing?,A child.,Wa yake suluɓan ƙanƙara.?,Yaro.,2639,2319557
214,What constitute in the picture?,A Frisbee.,Me ya sa a wannan hoton?,Frisbee.,1101,2418097
215,When was the picture taken?,Daytime.,Yaushe aka ɗauki hotan?,Da rana.,860,2319557
216,What kind of animal is in the picture?,A dog.,Wanne irin dabba ce a hoton?,Kere.,1494,2346613
217,What kind of food is this?,Chinese.,Wani irin abinci ne wannan?,Na yan sin.,1938,2390460
218,How many chronicle do the green double-decker have?,Two.,Sau nawa ne mai dalla-dalla biyu na kore?,Biyu.,761,2365243
219,What are the ducks doing?,Floating the water.,Me agwagi suke yi?,Yawo a cikin ruwa.,2644,2377160
220,What is the weather?,Sunny.,Ya yanayi yake?,Rana sosai.,2009,2320760
221,What on top of the groom teddy bear head?,Hat.,Menene a saman kan angon ƴar tsana?,Hula.,1273,2401582
222,Where was this shot taken?,Beach.,A ina aka ɗauki wannan ?,Bakin teku.,650,2406365
223,What is the picture showing?,A street sign.,Menene hoton da yake nuna?,Alamar titi.,555,2381478
224,What color equal the grass?,Green.,Wane launi daidai ciyawa?,Kore.,1530,2418676
225,What is in front of the white computer?,A cell phone.,Menene a gaban na'ura Mai kwakwalwa?,Wayar salula.,2551,2358633
226,World_Health_Organization exist sitting past the water?,Birds.,Duniya_health_oragization ya wanzu a cikin ruwa?,Tsuntsaye.,2462,2418969
227,What is the table made of?,Wood.,Dame akayi teburin?,Katako.,1475,2385913
228,How many cell phones are shown?,One.,Wayar salula guda nawa aka nuna?,Ɗaya.,2716,2343628
229,How many people are shown?,None.,Mutane nawa aka nuna?,Babu.,640,2321979
230,What color is the helmet of the person riding the motorcycle?,Black.,Wane launi ne kwalkwali na mutumin da ke hawa babur?,Baƙi.,729,2389974
231,When was the picture taken?,Daytime.,Yaushe aka ɗauki hoton nan?,Da rana.,860,2385611
232,How many terrace follow there?,Two.,Terrace nawa ne Terrace ke biye a can?,Biyu.,761,2419019
233,Where is the plant?,Beside the bed.,Ina shukar?,A gefen gadon.,194,2339684
234,What item is used to hear?,Ears.,Wane abu ake amfani da shi?,Kunne.,1556,2419129
235,What is the humankind surfboard on?,Powerful waves.,Menene 'yar Adam ta hannu?,Igiyoyin ruwa masu ƙarfi.,1290,2408685
236,How many buses?,One.,Bas guda nawa ne?,Ɗaya.,2716,2359188
237,How many printers do you see?,Two.,Firinta nawa ake gani?,Biyu.,761,2328103
238,What kind of weather is it?,Nice weather.,Wanne irin yanayi wannan?,Yanayi mai dadi.,2618,2344456
239,Who is next to the animal?,No one.,Wanene akusa da dabbar?,Bakowa.,653,2417694
240,How many people are in the picture?,One.,Nawane adadin mutane a cikin hoton?,Ɗaya.,2716,2395573
241,Where Washington the photo taken?,The road.,Inda Washington An dauki hoto?,A kan titi.,300,2367979
242,Who is indium the background?,People.,Wanene Indiya ta asali?,Mutane.,1886,2340750
243,Where is the umbrella?,Above the woman's head.,Ina lemar take?,A saman kan matar.,341,2395793
244,What is the color of the grass?,Green.,Mene launin ciyawar?,Koriya.,1541,2371973
245,Where cost the photo taken?,In the snow.,Inda kudin hoto ya dauka?,A cikin dusar ƙanƙara.,104,2328298
246,Who is holding the food?,The child.,Waye ke riƙe da abincin?,Yaron.,2642,2356419
247,What is the boy carrying?,A surfboard.,Me yaron yake ɗauke da?,Allon hawa igiyar ruwa.,565,2362191
248,What is the woman holding?,A cupcake.,Me matar take riƙe da shi?,Cupcake.,836,2362211
249,What are the door handles on the refrigerator made of?,Wood.,Da me aka yi mariƙin ƙofar a jikin firjin?,Katako.,1475,2374619
250,Where is the cat?,Inside a car.,Ina cat?,A cikin mota.,128,2414273
251,What color follow the bike?,Royal blue and white.,Wani launi bi keke?,Shuɗin sarauta da fari.,2236,2334271
252,What represent the baseball_game player holding?,A glove.,Wane wakilci Baseball_game dan wasa rike?,Safar hannu.,2146,2364115
253,What is the woman holding?,Ski poles.,Me matar ke riƙe dashi?,Sandunan kankara.,2173,2376221
254,Where is the wooden spoon?,On the counter.,Ina cokali na katako?,Yana kan kanta.,2603,2358683
255,What fun is the person doing?,Surfing.,Wane fun ne mutumin da yake yi?,Wasan hawa igiyar ruwa.,2531,2382154
256,How many zebra are there?,2,Sau nawa Zebra suke?,2,20,2337132
257,What color is the frisbee?,White.,Menene launin frisbee ɗin?,Fari.,1039,2386594
258,What is left of the people walking?,Wall barrier.,Menene a hagun mutumin?,Bango.,662,2401183
259,What sport is the person doing?,Surfing.,Wanne wasa mutumin yake?,Wasan hawa igiyar ruwa.,2531,2382154
260,How many birds send_away you see?,One.,Nawa tsuntsaye nawa ne kuke gani?,Ɗaya.,2716,2350133
261,What color equal the sky In the photo?,Blue.,Wane launi daidai sama a cikin hoto?,Shuɗi.,2230,2384078
262,What equal in the background?,Trees.,Menene daidai a bango?,Bishiyu.,758,2418338
263,What is the person in the center of the photo sitting on?,Bench.,Me mutumin da yake zaune na tsakiyar hoton yake zaune akai?,Benci.,737,2384111
264,What tinge is the sky?,Blue.,Abin da ke tayar sama?,Shuɗi.,2230,2336865
265,When was this photo taken?,When the ball was in the air.,A yaushe a ka ɗauki wannan hoton?,Lokacin da aka saka kwallon sama.,1690,2414610
266,What is on the ground?,Snow.,Me yake a ƙasa?,Dusar ƙanƙara.,989,2412257
267,How many signs are there?,One.,M alamu nawa ne?,Ɗaya.,2716,2405608
268,What color shirt is the gentleman at the far left table wearing?,Blue.,Wace hanya ce mai launi shine mai hankali a tebur mai nisa mai kyau saka?,Shuɗi.,2230,2409213
269,What is the amount of doors on the plane?,Two doors.,Menene yawan ƙofofi a jikin jirgin saman?,Ƙofofi biyu.,2767,2360682
270,Where is handwriting?,On white paper.,Ina rubutun hannu?,A kan farar takarda.,270,2408726
271,When was the photo taken?,Evening.,Yaushe ne aka dauki hoto?,Da maraice.,856,2331786
272,What is sitting along table?,Laptop.,Me ke zaune tare tebur?,Kwamfutar tafi-da-gidankan.,1616,2348000
273,What are these people standing in?,Grass.,Me mutanen nan suke tsaye akai?,Ciyawa.,820,2385972
274,What equal the fille looking at?,Water.,Menene daidai da fille yake kallo?,Ruwa.,2057,2333533
275,Why is a person holding ski poles?,To ski.,Meyasa mutumin yake riƙe da ƙarafen sulun ƙanƙara?,Don yin sulun ƙanƙara.,975,2378081
276,What is the floor made of?,Tile.,Menene kasan da aka yi?,Tayal.,2397,2335423
277,How would the coffee get stirred?,With the spoon.,Dame zaa juya kofi din?,Da cokalin.,841,2404786
278,What embody the skiers wearing?,Jackets.,Abin da yake rufe da Skumers saka?,Jackets.,1322,2400273
